Country,Year,Deaths,GDP_per_Capita,Democracy score
Malta,2021,147046,34951.7081679971,7.57
Malta,2022,10917,34563.3966270232,7.7
Mauritania,2020,34924,1836.29241098592,3.9199999999999995
Mauritania,2021,213778,1998.39400265586,4.03
Mauritania,2022,19668,2057.38039245817,4.03
Mauritius,2020,2713,9011.04288445023,8.14
Mauritius,2021,40732,9068.97292976686,8.08
Mauritius,2022,17292,10239.7970461095,8.14
Mexico,2020,15017707,8895.61521605941,6.07
Mexico,2021,85243244,10363.1927221972,5.57
Mexico,2022,6617755,11476.6788057764,5.25
Moldova,2020,295184,4375.7788930524,5.78
Moldova,2021,2234593,5274.60582195352,6.1
Moldova,2022,228728,5715.28022054154,6.23
Mongolia,2020,3,4041.1741456436694,6.480000000000001
Mongolia,2021,269621,4566.14013029182,6.420000000000001
Mongolia,2022,45705,5045.50472602069,6.35
Montenegro,2020,45312,7677.37132106817,5.77
Montenegro,2021,580968,9465.96153027794,6.02
Montenegro,2022,54025,10093.4387007266,6.45
Morocco,2020,539218,3258.26904296875,5.04
Morocco,2021,3980187,3767.52490234375,5.04
Morocco,2022,328789,3441.9914550781305,5.04
Mozambique,2020,12401,456.581918375225,3.5099999999999993
Mozambique,2021,442257,504.03775865468697,3.51
Mozambique,2022,46088,558.298592504349,3.51
Namibia,2020,17821,4252.04172014353,6.519999999999999
Namibia,2021,711197,4901.87588947838,6.52
Namibia,2022,82761,4895.68066089139,6.52
Nepal,2020,128945,1139.18989468388,5.22
Nepal,2021,2715794,1229.39420401521,4.41
Nepal,2022,255475,1348.15718956035,4.49
Netherlands,2020,1819728,52162.5701150406,8.96
Netherlands,2021,6403822,58727.8705471475,8.88
Netherlands,2022,474723,57025.01245598,9.0
New Zealand,2020,5981,41785.6922905898,9.25
New Zealand,2021,10492,49624.1816729553,9.37
New Zealand,2022,1134,48216.5095836302,9.61
Nicaragua,2020,28253,1877.1085553706203,3.6
Nicaragua,2021,69689,2064.6646185055,2.69
Nicaragua,2022,4796,2252.31020571776,2.5
Niger,2020,17306,564.841662320132,3.29
Niger,2021,71846,590.629494755814,3.2200000000000006
Niger,2022,6265,588.899048266729,3.73
Nigeria,2020,212680,2074.61374785422,4.1
Nigeria,2021,827562,2065.77441035114,4.11
Nigeria,2022,67859,2162.6337321033,4.23
North Macedonia,2020,194153,6659.59651070776,5.89
North Macedonia,2021,1939359,7620.80296977508,6.030000000000001
North Macedonia,2022,177442,7485.603457941801,6.1
Norway,2020,72511,68340.0181033702,9.81
Norway,2021,289478,93072.8925119571,9.75
Norway,2022,29984,108798.45116590102,9.81
Oman,2020,174416,16707.6230063214,3.0
Oman,2021,1074435,19509.4664633867,3.0
Oman,2022,90632,25056.794860837803,3.12
Pakistan,2020,1380284,1322.31478539554,4.31
Pakistan,2021,7759449,1506.1082930591701,4.31
Pakistan,2022,637931,1589.2639804971402,4.13
Panama,2020,451068,13293.3331951688,7.18
Panama,2021,2376286,15491.2898013383,6.85
Panama,2022,164804,17357.6286293985,6.91
Papua New Guinea,2020,966,2446.08468660615,6.1
Papua New Guinea,2021,71657,2624.60410978363,6.1
Papua New Guinea,2022,13054,3115.92292253449,5.97
Paraguay,2020,169871,5353.34806456279,6.18
Paraguay,2021,3904744,5959.44179393627,5.86
Paraguay,2022,367702,6187.0660296399,5.89
Peru,2020,15276634,6047.47546434312,6.529999999999999
Peru,2021,62714056,6713.66205386496,6.09
Peru,2022,4471905,7239.1113113089805,5.920000000000001
Philippines,2020,1048249,3224.42281121767,6.56
Philippines,2021,9811505,3460.53938172807,6.62
Philippines,2022,1153443,3499.1072795080104,6.73
Poland,2020,1422334,15816.819050318998,6.85
Poland,2021,24394356,18050.2778862996,6.8
Poland,2022,2215321,18732.4977273198,7.04
Portugal,2020,615356,22242.406417972,7.9
Portugal,2021,6070273,24661.1664874576,7.82
Portugal,2022,422436,24515.2657495716,7.95
Qatar,2020,41312,52315.660080622205,3.2400000000000007
Qatar,2021,179203,66858.7417247523,3.65
Qatar,2022,13704,87480.4197119462,3.65
Romania,2020,1248293,13047.4566563993,6.4
Romania,2021,12271936,14946.624968678,6.43
Romania,2022,1300462,15692.3071700143,6.45
Rwanda,2020,5360,773.931800619504,3.1
Rwanda,2021,258925,822.26804122921,3.1
Rwanda,2022,30554,966.571293318523,3.1
Saudi Arabia,2020,869637,20398.0614331035,2.08
Saudi Arabia,2021,2813031,24315.6153272971,2.08
Saudi Arabia,2022,195754,30447.882317160096,2.08
Senegal,2020,55512,1492.47590293523,5.67
Senegal,2021,484530,1630.6950716579297,5.53
Senegal,2022,41853,1594.98515311153,5.72
Serbia,2020,206832,7733.803468937631,6.220000000000001
Serbia,2021,2636494,9232.95770463789,6.36
Serbia,2022,285422,9537.68431879504,6.329999999999999
Sierra Leone,2020,15538,493.432240551423,4.86
Sierra Leone,2021,36424,504.621287621531,4.97
Sierra Leone,2022,2734,475.795727844622,5.03
Singapore,2020,6795,61466.803676358,6.029999999999999
Singapore,2021,59551,79601.4129622433,6.23
Singapore,2022,18446,88428.7024226232,6.22
Slovenia,2020,118309,25558.4290544506,7.540000000000001
Slovenia,2021,1585305,29331.0647010043,7.54
Slovenia,2022,124793,28439.3340989687,7.75
South Africa,2020,2968151,5753.06649434631,7.05
South Africa,2021,24393223,7073.6127541552505,7.05
South Africa,2022,2039146,6766.481254283939,7.05
Spain,2020,8720097,26984.2962770279,8.12
Spain,2021,28644917,30488.820952879705,7.940000000000001
Spain,2022,1990260,29674.5442864413,8.07
Sri Lanka,2020,9248,3846.17449566736,6.139999999999999
Sri Lanka,2021,2108672,3999.33800155592,6.14
Sri Lanka,2022,333307,3342.72012524497,6.47
Sudan,2020,189498,608.33251953125,2.54
Sudan,2021,931931,749.706787109375,2.47
Sudan,2022,73857,1102.24536132813,2.47
Suriname,2020,15480,4796.53331389928,6.82
Suriname,2021,205290,5026.87949279073,6.82
Suriname,2022,26529,5858.82466074423,6.95
Sweden,2020,1438568,52837.9039778149,9.26
Sweden,2021,5103122,61417.6808766469,9.26
Sweden,2022,340095,56299.5057328064,9.39
Switzerland,2020,694613,85897.7843338323,8.83
Switzerland,2021,3883259,93446.4344518943,8.9
Switzerland,2022,272987,93259.9057183024,9.14
Tajikistan,2020,16024,852.330202064927,1.94
Tajikistan,2021,38942,916.691967061922,1.9400000000000002
Tajikistan,2022,2750,1076.43469114729,1.94
Tanzania,2020,5282,1104.16442871094,5.1
Tanzania,2021,74202,1146.03198242188,5.1
Tanzania,2022,16330,1193.35961914063,5.1
Thailand,2020,15557,7001.85028683673,6.040000000000001
Thailand,2021,2687749,7070.512507291119,6.04
Thailand,2022,480949,6913.05080521119,6.670000000000001
Togo,2020,8764,876.542972383418,2.8
Togo,2021,56718,964.9981099619649,2.8
Togo,2022,5659,923.2403711502579,2.99
Trinidad and Tobago,2020,13090,13705.900228570998,7.160000000000001
Trinidad and Tobago,2021,339736,16056.302040927298,7.16
Trinidad and Tobago,2022,68232,19629.4653400829,7.16
Tunisia,2020,225290,3493.89773765706,6.589999999999999
Tunisia,2021,5980789,3817.37717375123,5.989999999999999
Tunisia,2022,565940,3607.9102377307795,5.51
Uganda,2020,16752,846.76720261962,4.94
Uganda,2021,614221,883.892026171965,4.48
Uganda,2022,74209,964.3541465266661,4.55
Ukraine,2020,1240038,3751.7373046875,5.81
Ukraine,2021,19421018,4827.845703125,5.57
Ukraine,2022,2288717,4575.97509765625,5.42
United Arab Emirates,2020,99619,37629.1741680652,2.7
United Arab Emirates,2021,623527,44332.3400499381,2.9
United Arab Emirates,2022,48022,53707.980081380105,2.9
United Kingdom,2020,11467694,40217.0090116986,8.54
